City,Rate,County
Tecate,7.75%,San Diego
Tecopa,7.75%,Inyo
Tehachapi,8.25%,Kern
Tehama,7.25%,Tehama
Temecula,8.75%,Riverside
Temple City,9.50%,Los Angeles
Templeton,7.25%,San Luis Obispo
Terminal Island (Los Angeles),9.50%,Los Angeles
Termo,7.25%,Lassen
Terra Bella,7.75%,Tulare
Thermal,7.75%,Riverside
Thornton,7.75%,San Joaquin
Thousand Oaks,7.25%,Ventura
Thousand Palms,7.75%,Riverside
Three Rivers,7.75%,Tulare
Tiburon,8.25%,Marin
Tierra Del Sol,7.75%,San Diego
Tierrasanta (San Diego),7.75%,San Diego
Tipton,7.75%,Tulare
Tollhouse,7.98%,Fresno
Toluca Lake (Los Angeles),9.50%,Los Angeles
Tomales,8.25%,Marin
Toms Place,7.25%,Mono
Topanga,9.50%,Los Angeles
Topanga Park,9.50%,Los Angeles
Topaz,7.25%,Mono
Torrance,10.00%,Los Angeles
Town Center,7.75%,Tulare
Trabuco Canyon,7.75%,Orange
Tracy,8.25%,San Joaquin
Tranquillity,7.98%,Fresno
Traver,7.75%,Tulare
Travis A.F.B. (Fairfield),8.38%,Solano
Tres Pinos,8.25%,San Benito
Trinidad,8.50%,Humboldt
Trinity Center,7.25%,Trinity
Trona,7.75%,San Bernardino
Trowbridge,7.25%,Sutter
Truckee,8.25%,Nevada
Tujunga (Los Angeles),9.50%,Los Angeles
Tulare,8.25%,Tulare
Tulelake,7.25%,Siskiyou
Tuolumne,7.25%,Tuolumne
Tuolumne Meadows,8.75%,Mariposa
Tupman,8.25%,Kern
Turlock,8.63%,Stanislaus
Tustin,7.75%,Orange
Twain,7.25%,Plumas
Twain Harte,7.25%,Tuolumne
Twentynine Palms,7.75%,San Bernardino
Twin Bridges,7.25%,El Dorado
Twin Peaks,7.75%,San Bernardino
Two Rock Coast Guard Station,8.50%,Sonoma
U.S. Naval Postgrad School (Monterey),9.25%,Monterey
Ukiah,8.88%,Mendocino
Union City,10.75%,Alameda
Universal City,9.50%,Los Angeles
University,7.75%,Santa Barbara
University Park (Irvine),7.75%,Orange
Upland,7.75%,San Bernardino
Upper Lake/ Upper Lake Valley,7.25%,Lake
Vacaville,8.13%,Solano
Val Verde Park,9.50%,Los Angeles
Valencia (Santa Clarita),9.50%,Los Angeles
Valinda,9.50%,Los Angeles
Vallecito,7.25%,Calaveras
Vallejo,9.25%,Solano
Valley Center,7.75%,San Diego
Valley Fair,9.13%,Santa Clara
Valley Ford,8.50%,Sonoma
Valley Home,7.88%,Stanislaus
Valley Springs,7.25%,Calaveras
Valley Village,9.50%,Los Angeles
Valyermo,9.50%,Los Angeles
Van Nuys (Los Angeles),9.50%,Los Angeles
Vandenberg A.F.B,7.75%,Santa Barbara
Vasquez Rocks,9.50%,Los Angeles
Venice (Los Angeles),9.50%,Los Angeles
Ventucopa,7.75%,Santa Barbara
Ventura,7.75%,Ventura
Verdugo City (Glendale),10.25%,Los Angeles
Vernalis,7.75%,San Joaquin
Vernon,10.25%,Los Angeles
Veteran's Hospital (Los Angeles),9.50%,Los Angeles
Victor,7.75%,San Joaquin
Victorville,8.75%,San Bernardino
Vidal,7.75%,San Bernardino
View Park,9.50%,Los Angeles
Villa Grande,8.50%,Sonoma
Villa Park,7.75%,Orange
Vina,7.25%,Tehama
Vincent,9.50%,Los Angeles
Vineburg,8.50%,Sonoma
Vinton,7.25%,Plumas
Virgilia,7.25%,Plumas
Visalia,8.50%,Tulare
Vista Park,8.25%,Kern
Vista,8.25%,San Diego
Volcano,7.75%,Amador
Volta,7.75%,Merced
Wallace,7.25%,Calaveras
Walnut Creek,9.25%,Contra Costa
Walnut Grove,7.75%,Sacramento
Walnut Park,9.50%,Los Angeles
Walnut,9.50%,Los Angeles
Warm Springs (Fremont),10.25%,Alameda
Warner Springs,7.75%,San Diego
Wasco,8.25%,Kern
Waterford,7.88%,Stanislaus
Watsonville,9.75%,Santa Cruz
Watts,9.50%,Los Angeles
Waukena,7.75%,Tulare
Wawona,8.75%,Mariposa
Weaverville,7.25%,Trinity
Weed,7.50%,Siskiyou
Weimar,7.25%,Placer
Weldon,8.25%,Kern
Wendel,7.25%,Lassen
Weott,7.75%,Humboldt
West Covina,9.50%,Los Angeles
West Hills (Los Angeles),9.50%,Los Angeles
West Hollywood,10.25%,Los Angeles
West Los Angeles (Los Angeles),9.50%,Los Angeles
West Point,7.25%,Calaveras
West Sacramento,8.25%,Yolo
Westchester (Los Angeles),9.50%,Los Angeles
Westend,7.75%,San Bernardino
Westhaven,7.75%,Humboldt
Westlake (Los Angeles),9.50%,Los Angeles
Westlake Village (Thousand Oaks),7.25%,Ventura
Westlake Village,9.50%,Los Angeles
Westley,7.88%,Stanislaus
Westminster,8.75%,Orange
Westmorland,7.75%,Imperial
Westport,7.88%,Mendocino
Westside,7.88%,Stanislaus
Westwood,7.25%,Lassen
Westwood (Los Angeles),9.50%,Los Angeles
Wheatland,7.75%,Yuba
Wheeler Ridge,8.25%,Kern
Whiskeytown,7.25%,Shasta
Whispering Pines,7.25%,Lake
White Pines,7.25%,Calaveras
Whitethorn,7.75%,Humboldt
Whitewater,7.75%,Riverside
Whitlow,7.75%,Humboldt
Whitmore,7.25%,Shasta
Whittier,10.25%,Los Angeles
Wildomar,8.75%,Riverside
Wildwood,7.25%,Shasta
Williams,8.25%,Colusa
Willits,9.13%,Mendocino
Willow Creek,7.75%,Humboldt
Willow Ranch,7.25%,Modoc
Willowbrook,9.50%,Los Angeles
Willows,7.25%,Glenn
Wilmington (Los Angeles),9.50%,Los Angeles
Wilseyville,7.25%,Calaveras
Wilsona Gardens,9.50%,Los Angeles
Wilton,7.75%,Sacramento
Winchester,7.75%,Riverside
Windsor Hills,9.50%,Los Angeles
Windsor,8.50%,Sonoma
Winnetka (Los Angeles),9.50%,Los Angeles
Winterhaven,7.75%,Imperial
Winters,7.25%,Yolo
Winton,7.75%,Merced
Wishon,7.75%,Madera
Witter Springs,7.25%,Lake
Wofford Heights,8.25%,Kern
Woodacre,8.25%,Marin
Woodbridge,7.75%,San Joaquin
Woodfords,7.25%,Alpine
Woodlake,8.75%,Tulare
Woodland Hills (Los Angeles),9.50%,Los Angeles
Woodland,8.00%,Yolo
Woodleaf,8.25%,Yuba
Woodside,9.38%,San Mateo
Woodville,7.75%,Tulare
Woody,8.25%,Kern
Wrightwood,7.75%,San Bernardino
Yankee Hill,7.25%,Butte
Yermo,7.75%,San Bernardino
Yettem,7.75%,Tulare
Yolo,7.25%,Yolo
Yorba Linda,7.75%,Orange
Yorkville,7.88%,Mendocino
Yosemite Lodge,8.75%,Mariposa
Yosemite National Park,8.75%,Mariposa
Yountville,7.75%,Napa
Yreka,7.75%,Siskiyou
Yuba City,7.25%,Sutter
Yucaipa,7.75%,San Bernardino
Yucca Valley,8.75%,San Bernardino
Zamora,7.25%,Yolo
Zenia,7.25%,Trinity
